PersonId,PersonFullName,PersonFirstName,PersonLastName,PersonType,PersonActiveFlag,PersonEmail,PersonPhone,PersonWWW
FM-1,Benjamin Holtzman,Benjamin,Holtzman,Student Board Member,1,,,
FM-2,Frances Suavillo,Frances,Suavillo,Student Board Member,1,,,
FM-3,George McKenna III,George,McKenna III,Board Member,1,,,
FM-4,Jackie Goldberg,Jackie,Goldberg,Board Member,1,,,
FM-5,Kamarie Brown,Kamarie,Brown,Student Board Member,1,,,
FM-6,Karen Calderon,Karen,Calderon,Student Board Member,1,,,
FM-7,Kelly Gonez,Kelly,Gonez,Board Member,1,,,
FM-8,Leon Popa,Leon,Popa,Student Board Member,1,,,
FM-9,Monica Garcia,Monica,Garcia,Board Member,1,,,
FM-10,Nick Melvoin,Nick,Melvoin,Board Member,1,,,
FM-11,Richard Vladovic,Richard,Vladovic,Board Member,1,,,
FM-12,Scott Schmerelson,Scott,Schmerelson,Board Member,1,,,
FM-13,Tyler Okeke,Tyler,Okeke,Student Board Member,1,,,
