event_id,event_date,event_time,event_location,event_item_id,agenda_number,agenda_sequence,matter_file,matter_name,matter_title,matter_type,matter_type_name,matter_status,matter_status_name,matter_intro_date,matter_passed_date,matter_enactment_date,matter_enactment_number,matter_requester,matter_body_name,title,action,action_text,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,agenda_link,minutes_link,video_link,attachment_links,Agenda_item_fulltext,source,notice_date,sponsor,cosponsors,student_votes
FM-2024-06-25,2024-06-25,,LAUSD Board Room,FM-038-23/24,038-23/24,1,Res-038-23/24,,Resolution to Endorse the Campaign for a Healthy and Safe California and Protect the LAUSD Community from the Health Impacts of Oil Wells,Resolution,Resolution,Adopted,Adopted,2024-06-18,2024-06-25,,,,Board of Education,Resolution to Endorse the Campaign for a Healthy and Safe California and Protect the LAUSD Community from the Health Impacts of Oil Wells,Adopted,,1,Roll Call,0,Ayes: 7,Jackie Goldberg,Nick Melvoin,1,,,https://lausd.granicus.com/MediaPlayer.php?view_id=4&clip_id=4462,,"Whereas, Research shows that living within half a mile of an oil well increases the risk of asthma, high-risk pregnancies, respiratory illnesses, and cancer;Whereas, There are thousands of active and inactive oil wells within the boundaries of Los Angeles Unified School District, and hundreds more in nearby communities that are within a half mile of District boundaries, and these wells are located near schools in every Board district; Whereas, The California State Legislature passed SB1137 in 2022 to initiate health and safety setback regulations, which prohibit new or modified oil and gas wells within 3,200 feet of schools, daycare centers, parks, healthcare facilities, businesses, and homes; andWhereas, Oil and corporate interests financed a $20 million petition campaign to block immediate implementation of SB 1137, placing a referendum to overturn SB 1137 on the California General Election November 2024 ballot; now, therefore, be it Resolved, That the Governing Board of the Los Angeles Unified School District endorse the Campaign for a Safe and Healthy California to keep SB1137 health and safety setback legislation, joining public health leaders, environmental justice groups, community and faith leaders, and youth to stand up to Big Oil and make sure that no Californians have to endure health hazards from living just steps away from dangerous oil wells; and, be it finallyResolved, That the District will publish accurate and unbiased information about ballot initiatives on the November 2024 ballot, including regarding the well-funded attack SB 1137.",FileMaker Resolutions DB,2024-06-18,Jackie Goldberg,George McKenna III; Rocio Rivas; Scott Schmerelson; Nick Melvoin; Kelly Gonez; Tanya Ortiz Franklin,Karen Ramirez: Absent
FM-2024-06-25,2024-06-25,,LAUSD Board Room,FM-039-23/24,039-23/24,2,Res-039-23/24,,Supporting Student First Amendment Rights on School Campuses,Resolution,Resolution,Adopted as Amended,Adopted as Amended,2024-06-18,2024-06-25,,,,Board of Education,Supporting Student First Amendment Rights on School Campuses,Adopted as Amended,,1,Roll Call,0,Ayes: 7,Jackie Goldberg,Nick Melvoin,1,,,https://lausd.granicus.com/MediaPlayer.php?view_id=4&clip_id=4462,,"Whereas, The First Amendment of the United States Constitution guarantees the rights and freedoms of all individuals residing in the United States, including but not limited to the rights to assemble peaceably, to freely express oneself, to share information through the press, and to petition the government; Whereas, The landmark United States Supreme Court case Tinker v. Des Moines of 1969 established the legal precedent affirming that students possess the same fundamental civil liberties enshrined in the First Amendment of the Constitution, emphasizing that students do not ""shed their constitutional rights to freedom of speech or expression at the schoolhouse gate;""Whereas, The United States has witnessed a significant surge in student-led protests across college campuses, which have been discouraged, and in many cases met with police brutality, by their institutions, instilling fear and reluctance among students to exercise their constitutionally guaranteed civil liberties; andWhereas, The Governing Board of the Los Angeles Unified School District has formally accepted a Student Bill of Rights, which states that, ""All students have the right to express themselves orally, in writing, and artistically . . . in a courteous and thoughtful manner that is within acceptable legal standards in an educational context without fear of reprisal;” now, therefore, be itResolved, That the Governing Board of the Los Angeles Unified School District hereby reaffirms its support for the civil liberties of students within the district and extends this commitment to uphold and defend students' civil liberties across school campuses nationwide; Resolved further, That schools are encouraged to continue teaching courses such as AP United States History, AP US Government and Politics, and Constitutional Law within their classrooms. Furthermore, schools are urged to actively promote increased student participation in initiatives such as the attainment of the State Seal of Civic Engagement;Resolved further, That the Board formally requests all schools within the District to persistently promote and prominently display the LAUSD Student Bill of Rights on their campuses to remind students of their rights on campus; and, be it finallyResolved, That the Board hereby calls upon all educational institutions to safeguard the civil liberties of their students and to promote the exercise of these liberties, including freedom of speech, expression, and assembly, as well as the right to petition the government, both within and beyond school campuses, and to refrain from calling police to an assembly as long as it is peaceful and nonviolent.",FileMaker Resolutions DB,2024-06-18,Karen Ramirez,Jackie Goldberg,Karen Ramirez: Yes
FM-2024-06-18,2024-06-18,,LAUSD Board Room,FM-030-23/24,030-23/24,3,Res-030-23/24,,LAUSD Student ID for All Students,Resolution,Resolution,Adopted as Amended,Adopted as Amended,2024-06-04,2024-06-18,,,,Board of Education,LAUSD Student ID for All Students,Adopted as Amended,,1,Roll Call,0,Ayes: 6; Nays: 1,Jackie Goldberg,Scott Schmerelson,1,,,https://lausd.granicus.com/MediaPlayer.php?view_id=4&clip_id=4455,,"Whereas, The Los Angeles Unified School District (LAUSD or District) Student ID is a unique identifier which allows the District to maintain, monitor and access every individual student’s school enrollment, demographics, parent/legal guardian/educational rights holder contact information, Individualized Education Plan (IEP) (if applicable), grades, transcripts, and other important pupil record information; Whereas, Because it is our responsibility to provide an education to every school-age person living within our boundaries in alignment with compulsory education obligations and since in practice students often move between District-authorized independent charter schools and traditional District public schools, all students in District-operated public schools and District authorized independent charter schools may be LAUSD students; and Whereas, Ensuring that all District-operated public school and District-authorized independent charter school students are included in the same Student ID system may create a seamless transition for families whose students move from District-authorized independent charter schools to LAUSD schools or from LAUSD schools to District-authorized independent charter schools, and may help support streamlining the process of having important records follow them throughout their time in LAUSD, regardless of the school they are enrolled in; now, therefore, be it Resolved, That all students in Los Angeles Unified School District, including those attending District-authorized independent charter schools, shall be assigned an LAUSD Student ID; Resolved further, That newly-assigned Student IDs pursuant to this Resolution will be utilized by the District in a manner consistent with independent charter schools’ current sharing of data through the established procedures and protocols; and, be it, finally Resolved, That Information Technology Services will develop a plan to initiate assigning an LAUSD Student ID to District-authorized independent charter school students during the 2024- 25 school year.",FileMaker Resolutions DB,2024-06-04,Jackie Goldberg,Rocio Rivas; Nick Melvoin; George McKenna III; Scott Schmerelson,Karen Ramirez: Absent
FM-2024-06-18,2024-06-18,,LAUSD Board Room,FM-034-23/24,034-23/24,4,Res-034-23/24,,"Celebration of Play Day on June 29, 2024, and Promotion of Play Equity",Resolution,Resolution,Adopted,Adopted,2024-06-04,2024-06-18,,,,Board of Education,"Celebration of Play Day on June 29, 2024, and Promotion of Play Equity",Adopted,,1,Roll Call,0,Ayes: 7,Rocio Rivas,Nick Melvoin,1,,,https://lausd.granicus.com/MediaPlayer.php?view_id=4&clip_id=4455,,"Whereas, The Los Angeles Unified School District (LAUSD or District) Student ID is a unique identifier which allows the District to maintain, monitor and access every individual student’s school enrollment, demographics, parent/legal guardian/educational rights holder contact information, Individualized Education Plan (IEP) (if applicable), grades, transcripts, and other important pupil record information; Whereas, Because it is our responsibility to provide an education to every school-age person living within our boundaries in alignment with compulsory education obligations and since in practice students often move between District-authorized independent charter schools and traditional District public schools, all students in District-operated public schools and District authorized independent charter schools may be LAUSD students; and Whereas, Ensuring that all District-operated public school and District-authorized independent charter school students are included in the same Student ID system may create a seamless transition for families whose students move from District-authorized independent charter schools to LAUSD schools or from LAUSD schools to District-authorized independent charter schools, and may help support streamlining the process of having important records follow them throughout their time in LAUSD, regardless of the school they are enrolled in; now, therefore, be it Resolved, That all students in Los Angeles Unified School District, including those attending District-authorized independent charter schools, shall be assigned an LAUSD Student ID; Resolved further, That newly-assigned Student IDs pursuant to this Resolution will be utilized by the District in a manner consistent with independent charter schools’ current sharing of data through the established procedures and protocols; and, be it, finally Resolved, That Information Technology Services will develop a plan to initiate assigning an LAUSD Student ID to District-authorized independent charter school students during the 2024- 25 school year.",FileMaker Resolutions DB,2024-06-04,Rocio Rivas,Nick Melvoin; Jackie Goldberg; George McKenna III; Scott Schmerelson; Tanya Ortiz Franklin; Kelly Gonez,Karen Ramirez: Absent
FM-2024-06-18,2024-06-18,,LAUSD Board Room,FM-035-23/24,035-23/24,5,Res-035-23/24,,Supporting Student Mental Health and Learning by Ensuring a Phone-Free School Day,Resolution,Resolution,Adopted as Amended,Adopted as Amended,2024-06-04,2024-06-18,,,,Board of Education,Supporting Student Mental Health and Learning by Ensuring a Phone-Free School Day,Adopted as Amended,,1,Roll Call,0,Ayes: 5; Nays: 2,Nick Melvoin,Rocio Rivas,1,,,https://lausd.granicus.com/MediaPlayer.php?view_id=4&clip_id=4455,,"Whereas, The Los Angeles Unified School District (“District”) is committed to supporting student mental health and wellbeing and creating environments where students feel safe, welcome, and excited to learn;Whereas, Research indicates that excessive cell phone use impacts adolescents mental health and well-being and is associated with increased stress, anxiety, depression, sleep issues, feelings of aggression, and suicidal thoughts. According to the US National Survey on Drug Use and Health, anxiety for those born after 1995 increased by 139 percent from 2010 to 2020, coinciding with the rise in smartphones and social media;Whereas, Cell phones can stifle meaningful in-person interaction and enable cyberbullying. According to a report published by the Centers for Disease Control and Prevention, 16 percent of U.S. high school students in 2021 said they had been bullied via text message or social media platforms over the previous year;Whereas, While headphones and earbuds are tools to promote focus and concentration in the classroom, students use them with their cell phones all day and may become reliant on them– stifling student interaction with their peers and limiting classroom engagement;Whereas, Half of all teens reported feeling “addicted” to their phones in a survey published in 2016 by Common Sense Media. And, a 2023 Common Sense Media study of 200 students found that 97% of 11 to 17-year-olds used their phones during the school day;Whereas, The U.S. surgeon general wrote in an advisory in 2023 that social media may be linked to the growing mental health crisis among teens. Children and adolescents on social media are commonly exposed to extreme, inappropriate, and harmful content. Many students access social media via their smartphones during the school day;Whereas, Research indicates that limiting cell phone usage and social media access during the school day increases academic performance and has positive effects on student mental health. Studies show that banning smartphones increases performance on both standardized test scores and end-of-course exams. The gains were equivalent to an additional hour of instructional time per week. A study published in 2024 shows that banning smartphones reduces the number of consultations for psychological symptoms by about two-to-three visits per child, per year;Whereas, Districts and schools across the country have adopted policies restricting student smartphone use during the school day. For example, starting in 2023, public schools in Florida began prohibiting student phone use during instructional time and blocking students’ access to social media on district Wi-Fi. In 2019, California’s AB 272 encouraged school districts to adopt policies limiting the use of smartphones in school. And, California’s AB 3216 “Pupils: use of smartphones,” introduced in February 2024, would require school districts to adopt a policy to prohibit the use of smartphones at school sites by July 1, 2026. Other states including Oklahoma, Kansas, Vermont, Ohio, Louisiana, and Pennsylvania have introduced similar legislation; Whereas, BUL-5468.0 “Use of Cellular Telephones and Other Electronic Devices by Students'' prohibits the use of cell phones during normal school hours or school activities, excluding lunchtime or nutrition unless the school has adopted a stricter policy. However, implementation of the existing cell phone policy varies by school site–sometimes from classroom to classroom. This policy has not been updated since 2011, prior to the widespread usage of smartphones by school-aged children;Whereas, BUL-6299.2 “Social Media Policy for Students” provides guidelines regarding student’s social media use. This policy has not been updated since 2018; andWhereas, School safety experts indicate that the use of cell phones by students could potentially decrease school safety during certain emergencies, spreading misinformation and interfering with official communications and directions to students; now, therefore be itResolved, That within 120 days, the Los Angeles Unified School District shall develop and present to the public at a Board Meeting updated cell phone and social media policies to prohibit student use of cell phones and social media platforms district-wide during the entire school day. The policies and their implementation shall be informed by best practices and by input from experts in the field, labor partners, staff, students, and parents;Resolved further, That the updated policies will go into effect no later than the second semester of the 2024-2025 school year and shall include guidelines for implementation that:·	Are consistent with California and federal legal requirements including exemptions for IEP or Section 504 accommodations and emergencies;·	Are age appropriate and differentiated by grade level;·	Delineate an approach for smartphones versus text/voice only phones versus other smart devices like watches;·	Consider options for cell phone storage including locked pouches and/or cell phone lockers taking the needs of local school communities and stakeholders into account; ·	Consider the use of technological means of restriction to social media platforms or other similar content by internet or cellular service;·	Consider unique needs of newcomers who may utilize phones for translation purposes·	Provide guidance to school sites on communicating with students, families and employees regarding the policies; and, be it finallyResolved, That the District shall advocate for state and federal legislation–including but not limited to AB 3216–limiting the use of smartphones at school sites as well as other legislation that limits the use of social media platforms that disrupt learning and contribute to declining student mental health. The District shall also evaluate the impact of social media use by young people, including on their mental health, to formulate a strategy that contemplates–but is not restricted to–litigation against social media entities that operate platforms that use algorithms that appeal to students who develop addiction to such platforms with well documented mental and physical deleterious consequences to youth.",FileMaker Resolutions DB,2024-06-04,Nick Melvoin,Jackie Goldberg; Tanya Ortiz Franklin; Kelly Gonez,Karen Ramirez: Absent
FM-2024-06-18,2024-06-18,,LAUSD Board Room,FM-036-23/24,036-23/24,6,Res-036-23/24,,Modern Budget Transparency for Student Achievement,Resolution,Resolution,Adopted as Amended,Adopted as Amended,2024-06-04,2024-06-18,,,,Board of Education,Modern Budget Transparency for Student Achievement,Adopted as Amended,,1,Roll Call,0,Ayes: 7,Tanya Ortiz Franklin,Scott Schmerelson,1,,,https://lausd.granicus.com/MediaPlayer.php?view_id=4&clip_id=4455,,"Whereas, Los Angeles Unified School District is committed to equity, collaboration and excellence, leading every student to be ready for college, career and life;Whereas, Providing the highest-quality instructional experience requires utilizing resources equitably, efficiently, and strategically to improve student outcomes and to do so requires timely, easy-to-understand budget analysis that well informs decisions; Whereas, The Strategic Plan Pillar 3 Engagement and Collaboration commits to providing opportunities for robust stakeholder engagement in the school budget development process as a strategy for strengthening relationships between families, students, and their schools to improve student success; Whereas, The Strategic Plan Pillar 4 Operational Effectiveness elevates the Priority of Sustainable Budgeting and the importance of establishing powerful new ways to look at data and District budgets to make the best decisions to serve our students; Whereas, The Governing Board of the Los Angeles Unified School District passed the LAUSDATA: Los Angeles Unified Sharing Data for Accessibility, Transparency, and Accountability resolution (Res-021-17/18), which recognized the importance of open government, collective problem solving, trust and shared accountability and established the LAUSD Open Data portal which averages 1,372 monthly users; Whereas, The Strategic Plan was aligned to budget investments in the OpenGov portal taking an important step towards tracking our investments connected to District goals and strategies, but currently lacks the ability to produce a report to understand usage; Whereas, There are multiple places to access budget data which creates confusion, lack of clarity on the most up to date information, and budget allocation information is difficult to decipher, static, and only addresses high-level questions; Whereas, Artificial Intelligence (AI) provides the possibility of enhancing efficiencies, expediting processing times, improved accuracy, and real-time customization for the user, and LA Unified is a leader in AI with applications such as Ed and presentations at renowned conferences; Whereas, District students, parents, families, staff, and community members voice the importance of having access to readily available, easily understandable budget information so they can understand how the District is prioritizing its investments and to what extent those investments are impacting student experiences and achievement; and Whereas, The District faces a challenging budgetary context with pandemic recovery funds expiring and California state budget projected deficits, making informed, transparent decisions alongside community necessary to ensure high-quality, equitable learning environments; now, therefore, be itResolved, That the Los Angeles Unified School District provide a primary resource for the community that is a consolidated, clear, comprehensive, detailed, language accessible, and AIpowered annual budget tool – publicly available online – that includes a FAQ section and ongoing in-person and online user guidance training and support to help with navigation, and which:1.	Integrates Artificial Intelligence so that users engage actively with the tool to ask questions and receive accurate answers,2.	Includes customizable data visualizations, download capability, geocoding/mapping capabilities, sortability to analyze and compare investments across schools, SENI quintile, board district, community of school, student demographic and other relevant data to be determined by stakeholder engagement, 3.	Includes all fund sources including bond funding and donation accounts (PTO/PTA), totals, carryover, full-time and part-time equivalent allocations including staff to student ratios (for each position, not just teachers and counselors), position titles, per pupil expenditures for all funding sources across major categories, 4.	Is organized by categories commonly discussed at board meetings, in community meetings, and at school sites (determined by community described in Resolve 2 below), 5.	Includes year-over-year historical data for the past 3-year time period and includes budgeted and actual expenditures in each category (i.e. program dollar spend year-to-date and year-to-go), 6.	Has the capacity to support school-site budgetary decisions through including access to accurate and timely information for making real-time budget decisions (i.e. program dollar spend year-to-date and year-to-go), 7.	Includes narrative and contextual information to explain budget and policy decisions;Resolved further, That in order to design the first draft and final version of this tool, made available by July 1, 2025, the District continues to seek and incorporate community feedback that1.	Includes LCAP parent groups, community partners, labor partners, and board offices, 2.	Is shared in language accessible formats, and when the community can best participate, 3.	Prioritizes engaging historically marginalized communities which can include but are not limited to native/indigenous, immigrant, disabled, and racial/ethnic subgroups, and 4.	Ensures that the product matches the demand of the end users (feedback shall be sought at least three times – at the outset and twice after drafts are available to test drive);Resolved further, That by October 2025 the budget tool has a plan that clearly connects to student outcomes, describing how specific investments impact student outcomes and strategic plan goals (recognizing limitations regarding causal and correlative connections as well as shared responsibility across programs, personnel and school/region/district staff) to inform budget development of the 2026-27 school year; and, be it finallyResolved, That the budget tool and student achievement metrics are available when established at the regional and school site levels and are shared multiple times per year, publicly as a part of Strategic Plan updates, LCAP updates, and key budgetary milestones (including 2nd-interim report) to inform board decisions on budget development and approval.",FileMaker Resolutions DB,2024-06-04,Tanya Ortiz Franklin,Nick Melvoin,Karen Ramirez: Absent
FM-2024-06-18,2024-06-18,,LAUSD Board Room,FM-Sup Res-007-23/24,Sup Res-007-23/24,7,Res-Sup Res-007-23/24,,Appointment of Member to School Construction Bond Citizens’ Oversight Committee,Resolution,Resolution,Adopted,Adopted,2024-06-18,2024-06-18,,,,Board of Education,Appointment of Member to School Construction Bond Citizens’ Oversight Committee,Adopted,,1,Roll Call,0,Ayes: 7,Scott Schmerelson,Kelly Gonez,1,,,https://lausd.granicus.com/MediaPlayer.php?view_id=4&clip_id=4455,,"Resolved, That the Governing Board of the Los Angeles Unified School District ratifies the appointment of Ms. Sandra Betts, representing the California Tax Reform Association, as Member to the School Construction Bond Citizens’ Oversight Committee for a two-year term commencing June 25, 2024 and determines that Ms. Betts is not an employee, official, vendor, contractor, or consultant of the District.",FileMaker Resolutions DB,2024-06-18,Superintendent,,Karen Ramirez: Absent
FM-2024-06-18,2024-06-18,,LAUSD Board Room,FM-Sup Res-008-23/24,Sup Res-008-23/24,8,Res-Sup Res-008-23/24,,Re-appointment of Member to the School Construction Bond Citizens’ Oversight Committee (Sup Res-008-23/24),Resolution,Resolution,Adopted,Adopted,2024-06-18,2024-06-18,,,,Board of Education,Re-appointment of Member to the School Construction Bond Citizens’ Oversight Committee (Sup Res-008-23/24),Adopted,,1,Roll Call,0,Ayes: 7,Scott Schmerelson,Kelly Gonez,1,,,https://lausd.granicus.com/MediaPlayer.php?view_id=4&clip_id=4455,,"Resolved, That the Governing Board of the Los Angeles Unified School District ratifies the re-appointment of Ms. Jennifer Pope McDowell, representing the Los Angeles Mayor’s Office, as a Member to the School Construction Bond Citizens’ Oversight Committee for a two-year term commencing on June 18, 2024. The Board has determined that Ms. Pope McDowell is not an employee, official, vendor, contractor, or consultant of the District.",FileMaker Resolutions DB,2024-06-18,Superintendent,,Karen Ramirez: Absent
FM-2024-06-04,2024-06-04,,LAUSD Board Room,FM-029-23/24,029-23/24,9,Res-029-23/24,,Equitable Access to Vision Care in Los Angeles Unified School District Schools,Resolution,Resolution,Adopted as Amended,Adopted as Amended,2024-05-07,2024-06-04,,,,Board of Education,Equitable Access to Vision Care in Los Angeles Unified School District Schools,Adopted as Amended,,1,Roll Call,0,Ayes: 7,Scott Schmerelson,Nick Melvoin,1,,,https://lausd.granicus.com/MediaPlayer.php?view_id=4&clip_id=4449,,"Whereas, The Los Angeles Unified School District demonstrates a multi-pronged approach to academic success and equity through the Community Schools initiative, Black Student Achievement Plan, and Priority Schools initiative, aimed at ensuring that all students are prepared and inspired for college, career, and life;Whereas, The District’s Strategic Plan 2022-2026 prioritizes Safe and Healthy Environments to Promote Joy and Wellness, expanding access to vision services aligns with the District’s commitment to promoting whole-child well-being through integrated health, nutrition, and wellness services;Whereas, Up to one-third of children experience vision problems that can significantly hinder their academic performance and overall well-being. These uncorrected issues impede learning as 80% of it is processed visually, leading to difficulties with reading, focusing, headaches, and participation in classroom activities;Whereas, Limited access to vision care due to provider shortages, affordability concerns, and transportation limitations disproportionately impacts low-income District students, exacerbating existing educational and health disparities;Whereas, Undiagnosed vision problems can have a negative impact on a student's social and emotional development, leading to difficulties participating in activities and feelings of isolation; Whereas, A recent report with a study population of over 94% Black and Latinx students published in Journal of the American Medical Association (JAMA) Ophthalmology (2022) demonstrates that participation in a school-based vision program led to significant academic gains in both math and English. Students with Individualized Education Programs (IEPs) and those initially performing lower academically experienced the most improvement; Whereas, The Los Angeles Unified School District Board previously passed Resolution Res-020-19/20 on March 10, 2020, aimed at increasing equitable access to student health care, and despite these prior efforts, ensuring all students receive the necessary follow-up care remains a critical challenge; andWhereas, Integrating vision services directly into District schools maximizes resource utilization and removes barriers to care, promoting early intervention through effective school-based programs proven to identify vision problems, connect students with care, and improve academic outcomes; now, therefore, be itResolved, That the Governing Board of the Los Angeles Unified School District commits to furthering student success by expanding access to vision services through a school-based vision care program offered at no cost to students, families, or the District; Resolved further, That the Superintendent shall develop a Strategic Vision Care Plan for a pilot program with non-profit organizations, healthcare providers, and governmental agencies to provide school-based initial assessments, diagnosis, prescriptions, prescription glasses, and eye care as needed, that prioritizes service delivery on considerations including but not limited to, designations of Community Schools, BSAP Schools, and Priority Schools during the 2024-2025 school year. Services to be provided on an ongoing basis no less than every other year thereafter. The continued service will help address the changing needs of young children along with students who are new to a school. The vision care partnerships programs should prioritize the following:●	Accessibility: All services should be offered within school sites during school hours and after-school programming hours to maximize student participation.●	Quality: Service providers must be qualified eye care professionals with a demonstrated track record of providing high-quality vision care services to children, have at least five years’ experience providing school-based vision services in California, and the ability to bill Medi-Cal for services rendered to covered students.●	Cultural Competency: Services should be delivered in a culturally competent manner that respects the diverse needs (i.e. linguistic) of District students and their families.●	Collaboration with relevant national, state, and local health care agencies: The Superintendent shall explore and develop partnerships with relevant agencies such as the National Center for Children’s Vision and Eye Health, California Department of Health Care Services, Los Angeles County Department of Public Health, children’s hospitals, optometry schools, and insurance providers to leverage their expertise and resources in developing a thorough, well-informed pilot program. This collaboration may involve identifying additional no-cost providers and programs to integrate vision care services with existing programs that benefit students; Resolved further, That the Superintendent shall foster ongoing collaboration with stakeholders by engaging educators, administrators, healthcare and vision care providers, school nurses, parents, the Community Schools Steering Committee, and the Black Student Achievement Plan Steering Committee to help inform the development of the partnerships program, address critical issues of equity and accessibility in service delivery, promote potential partnership opportunities to ensure the program's long-term sustainability, and work with the Office of Government Relations, the Office of Student Health and Human Services, and any other relevant stakeholders to advocate for related legislation and necessary funding to ensure robust implementation; and, be it finallyResolved, That the Superintendent shall finalize the vision plan by December 1, 2024, informed by stakeholder sessions as outlined above. This plan will ensure program rollout and service delivery begin within 30 days thereafter.",FileMaker Resolutions DB,2024-05-07,Rocio Rivas,Scott Schmerelson; Nick Melvoin; George McKenna III; Kelly Gonez; Tanya Ortiz Franklin; Jackie Goldberg,Karen Ramirez: Absent
FM-2024-06-04,2024-06-04,,LAUSD Board Room,FM-028-23/24,028-23/24,10,Res-028-23/24,,"Supporting Assembly Constitutional Amendment No. 16 (ACA 16), the Green Amendment, to Codify the Right to Clean Air, Water, and a Healthy Environment for Every Californian (Res-028-23/24)",Resolution,Resolution,Adopted,Adopted,2024-05-07,2024-06-04,,,,Board of Education,"Supporting Assembly Constitutional Amendment No. 16 (ACA 16), the Green Amendment, to Codify the Right to Clean Air, Water, and a Healthy Environment for Every Californian (Res-028-23/24)",Adopted,,1,Roll Call,0,Ayes: 7,Rocio Rivas,Scott Schmerelson,1,,,https://lausd.granicus.com/MediaPlayer.php?view_id=4&clip_id=4449,,"Whereas, The Los Angeles Unified School District is committed to the health, well-being, and academic success of all students;Whereas, The District has established a strong foundation for environmental stewardship through a series of impactful resolutions, including commitments to 100% clean energy (Res-018-19/20), extensive campus greening by 2035 (Res-002-22/23), and ensuring every student receives annual outdoor and climate literacy education (Res-016-21/22), demonstrating the District's unwavering dedication to fostering a healthy learning environment and a sustainable future for all;Whereas, The District's 2022-26 Strategic Plan prioritizes student success in a sustainable future, the District recognizes the profound impact of a healthy environment on student learning and well-being, particularly through the development of safe and sustainable green spaces in schools as outlined in Pillar 2: Joy and Wellness – Welcoming Learning Environments;Whereas, Students in low-income communities and communities of color are disproportionately impacted by environmental injustices, including higher levels of air and water pollution, limited access to green spaces, and the brunt of climate change effects;Whereas, These environmental injustices negatively impact student health, leading to increased asthma rates, respiratory illnesses, and developmental problems;Whereas, Access to clean air, water, and green spaces is crucial for students' cognitive function, stress reduction, and physical activity, all of which are essential for learning and development;Whereas, ACA 16 (Bryan), also known as the Green Amendment, proposes to amend the California Constitution to establish a fundamental right to a clean and healthy environment for all Californians; andWhereas, Enshrining this right in the state constitution would provide a stronger foundation for existing environmental legislation and guide future policy decisions that prioritize environmental justice and the health of all Californians; now, therefore, be itResolved, That the Governing Board of the Los Angeles Unified School District hereby strongly supports the passage of ACA 16;Resolved further, That the Board urges the California Legislature to pass ACA 16 and Governor Newsom to sign it into law; and, be it finallyResolved, That the Board hereby directs the Superintendent and the District’s Office of Government Relations to transmit a copy of this Resolution to the Speaker of the Assembly, the President pro Tempore of the Senate, each member of the California State Legislature representing a district within the boundaries of the LAUSD, and Governor Newsom.",FileMaker Resolutions DB,2024-05-07,Rocio Rivas,George McKenna III; Scott Schmerelson; Nick Melvoin; Kelly Gonez; Tanya Ortiz Franklin; Jackie Goldberg,Karen Ramirez: Absent
